BygningAnvendelsesKode_Value,BygningOpfoerelsesaar_Value,BygningSamletBoligAreal_Value,BygningVarmeinstallation_Value,EnhedAntalVaerelser_Value
140,1902,495,3,3
140,1902,495,3,3
140,1902,495,3,2
140,1902,495,3,3
140,1902,495,3,4
140,1902,495,3,2
130,1959,92,1,4
140,1900,444,2,3
140,1900,444,2,2
140,1900,444,2,2
140,1900,444,2,2
140,1900,444,2,2
140,1900,444,2,4
130,2003,105,1,4
130,1969,147,2,6
140,1895,238,1,3
140,1895,238,1,2
140,1895,238,1,2
130,1981,266,7,5
130,1981,266,7,5
130,1986,297,1,2
130,1986,297,1,2
130,1986,297,1,2
130,1979,153,1,3
130,1979,153,1,2
130,1974,142,1,8
130,1973,140,7,5
130,2007,105,1,4
140,1880,377,2,3
140,1880,377,2,2
140,1880,377,2,3
140,1880,377,2,3
140,1880,377,2,3
140,1880,377,2,3
140,1880,377,2,3
130,1988,282,2,4
130,1988,282,2,4
140,1900,619,1,3
140,1900,619,1,3
140,1900,619,1,3
140,1900,619,1,4
140,1900,619,1,3
140,1965,760,2,3
140,1965,760,2,2
140,1965,760,2,2
140,1965,760,2,3
140,1965,760,2,2
140,1965,760,2,2
140,1965,760,2,3
140,1965,760,2,2
140,1965,760,2,2
140,1965,760,2,3
140,1965,760,2,2
140,1965,760,2,2
130,1986,418,1,2
130,1986,418,1,2
130,1986,418,1,2
130,1965,320,2,4
130,1965,320,2,4
130,2005,121,1,4
130,1980,188,1,5
140,1958,202,1,1
140,1958,202,1,3
140,1958,202,1,4
140,1890,944,2,2
140,1890,944,2,4
140,1890,944,2,
140,1890,944,2,6
140,1890,944,2,2
140,1890,944,2,5
140,1890,944,2,5
140,1890,944,2,4
140,1890,944,2,8
140,1890,944,2,5
140,1890,944,2,4
140,1890,944,2,4
140,1890,944,2,2
140,1890,944,2,9
130,2004,130,1,4
140,1964,2848,1,1
140,1964,2848,1,2
140,1964,2848,1,3
140,1964,2848,1,1
140,1964,2848,1,2
140,1964,2848,1,3
140,1964,2848,1,1
140,1964,2848,1,2
140,1964,2848,1,3
140,1964,2848,1,1
140,1964,2848,1,3
140,1964,2848,1,2
140,1964,2848,1,3
140,1998,316,1,1
140,1998,316,1,1
140,1998,316,1,2
140,1998,316,1,1
140,1998,316,1,1
140,1998,316,1,1
140,1998,316,1,1
140,1998,316,1,1
140,1998,316,1,1
140,1998,316,1,1
140,1998,316,1,1
140,1998,316,1,1
140,1890,515,2,6
140,1890,515,2,3
140,1890,515,2,3
140,1890,515,2,3
140,1890,515,2,2
140,1890,515,2,3
130,1982,321,1,4
130,1982,106,1,3
140,1900,374,2,3
140,1900,374,2,3
140,1900,374,2,3
140,1900,374,2,3
130,1979,119,7,5
130,1982,151,1,7
130,1982,106,1,3
140,1982,156,7,2
140,1982,156,7,2
140,1902,517,2,2
140,1902,517,2,2
140,1902,517,2,2
140,1902,517,2,2
140,1902,517,2,2
140,1902,517,2,2
140,1902,517,2,
140,1902,517,2,2
140,1902,517,2,2
130,1940,100,2,5
130,1967,164,2,5
130,1959,92,1,4
130,1971,97,2,4
130,1991,244,1,2
130,1970,115,2,4
130,1936,174,1,6
130,2008,81,2,3
130,1977,108,1,4
130,1959,92,1,4
130,1976,111,1,4
130,1979,183,1,5
140,1877,190,3,2
140,1877,190,3,2
140,1877,190,3,2
140,1877,190,3,2
130,1976,124,7,5
140,1971,1740,2,4
140,1971,1740,2,4
140,1971,1740,2,4
140,1971,1740,2,4
140,1971,1740,2,4
140,1971,1740,2,4
140,1971,1740,2,4
140,1971,1740,2,4
140,1971,1740,2,4
140,1971,1740,2,4
140,1971,1740,2,4
140,1971,1740,2,4
140,1931,320,1,3
140,1931,320,1,3
140,1931,320,1,3
140,1931,320,1,3
130,1900,84,1,3
130,1976,258,7,5
130,1976,258,7,4
130,1940,67,2,4
